Sports Club Roles,Child Protection checked eg DBS?,Do you consent to Photography & Filming of your child?,Do you approve video & images of your child for Club external use?,Club Team Names,Team 1 ,Team 2,Dominant Foot,Dominant Hand,How many keepie uppies can you do?,Fav. Basketball Teams,Fav. Cricket Teams,Fav. Football (Soccer) Team,Fav. American Football Teams,Fav. Ice Hockey Teams,Preferred Positions (By Sport),,Training Frequency,Preferred Training Style,Past Injuries,Chronic Conditions,Allergies,Protective Gear Used,Sports Brand Preference,Supplements Used,,,Fav. Tennis Players,Fav. Rugby Teams,Fav. Rugby Players,Fav. Badminton Players,Fav. Squash Players,Fav. Basketball Teams,Fav. Basketball Players,Fav. MMA Fighters,Fav. Cricket Teams,Fav. Cricket Players,Fav. Football Teams (Soccer),Fav. Football Players (Soccer),Fav. American Football Teams,Fav. American Football Players,Fav. Baseball Teams,Fav. Baseball Players,Fav. Golf Players,Fav. Ice Hockey Teams,Fav. Ice Hockey Players,Fav. Boxers,Fav. F1 Drivers,Fav. Swimmers,Fav. Entertainment & Media
,,,,,,,,,,Sri Lanka,,Vissel Kobe,Troy Trojans,Drummondville Voltigeurs,,,,,,,,,,,,,Juan Martin del Potro,,,,,Sri Lanka,Anfernee Simons,Edson Barboza,,Tim Southee,Vissel Kobe,Benjamin Pavard,Troy Trojans,Landon Collins,Guant·namo,Javier Baez,,Drummondville Voltigeurs,Bo Horvat,Al Haymon,Christijan Albers,Brendan Hansen,
,,,,,,,,,,Sudan,,Kashima Antlers,Texas State Bobcats,Blainville-Boisbriand Armada,,,,,,,,,,,,,Coco Gauff,,,,,Sudan,Brandon Clarke,Jeremy Stephens,,Tom Latham,Kashima Antlers,Dayot Upamecano,Texas State Bobcats,Tre Boston,Las Tunas,Kris Bryant,,Blainville-Boisbriand Armada,Brock Boeser,Lou DiBella,Tiago Monteiro,Jason Lezak,
,,,,,,,,,,Suriname,,Gamba Osaka,UAB Blazers,Chicoutimi Sagueneens,,,,,,,,,,,,,Petra Kvitova,,,,,Suriname,Cam Reddish,Andre Fili,,Colin de Grandhomme,Gamba Osaka,Nabil Fekir,UAB Blazers,Tashaun Gipson,HolguÌn,Anthony Rizzo,,Chicoutimi Sagueneens,Thatcher Demko,Frank Maloney,Robert Doornbos,Gary Hall Jr.,
,,,,,,,,,,Tanzania,,Guangzhou Evergrande,Western Kentucky Hilltoppers,Rimouski Oceanic,,,,,,,,,,,,,Victoria Azarenka,,,,,Tanzania,Onyeka Okongwu,Hakeem Dawodu,,Matt Henry,Guangzhou Evergrande,Moussa Sissoko,Western Kentucky Hilltoppers,Darnell Savage,Matanzas,Willson Contreras,,Rimouski Oceanic,Johnny Gaudreau,Buddy McGirt,Franck Montagny,Tom Malchow,
,,,,,,,,,,Togo,,Shanghai SIPG,Middle Tennessee Blue Raiders,Moncton Wildcats,,,,,,,,,,,,,,,,,,Togo,Saddiq Bey,Mirsad Bektic,,Lockie Ferguson,Shanghai SIPG,Anthony Martial,Middle Tennessee Blue Raiders,Rodney McLeod,Sancti SpÌritus,Kyle Schwarber,,Moncton Wildcats,Sean Monahan,Freddie Roach,Yuji Ide,Erik Vendt,
,,,,,,,,,,Trinidad and Tobago,,Beijing Guoan,Florida Atlantic Owls,Saint John Sea Dogs,,,,,,,,,,,,,,,,,,Trinidad and Tobago,Richaun Holmes,Ilia Topuria,,Henry Nicholls,Beijing Guoan,Olivier Giroud,Florida Atlantic Owls,Vonn Bell,Isla de la Juventud,Craig Kimbrel,,Saint John Sea Dogs,Mark Giordano,Angelo Dundee,Sakon Yamamoto,Tom Dolan,
,,,,,,,,,,Turkmenistan,,Shandong Luneng,Charlotte 49ers,Acadie-Bathurst Titan,,,,,,,,,,,,,,,,,,Turkmenistan,Keldon Johnson,Zabit Magomedsharipov,,Sanju Samson,Shandong Luneng,Ousmane Dembele,Charlotte 49ers,Deion Sanders,Lobos de Arecibo,Zach Davies,,Acadie-Bathurst Titan,Elias Lindholm,Emanuel Steward,Timo Bernhard,Jeff Rouse,
,,,,,,,,,,Uganda,,Jiangsu Suning,Louisiana Tech Bulldogs,Halifax Mooseheads,,,,,,,,,,,,,,,,,,Uganda,Obi Toppin,Manel Kape,,Axar Patel,Jiangsu Suning,Wissam Ben Yedder,Louisiana Tech Bulldogs,Champ Bailey,Bravos de LeÛn,Kyle Lewis,,Halifax Mooseheads,Jacob Markstrom,Cus D'Amato,Brendon Hartley,Josh Davis,
,,,,,,,,,,Zambia,,Sydney FC,Southern Miss Golden Eagles,Charlottetown Islanders,,,,,,,,,,,,,,,,,,Zambia,De'Andre Hunter,Alexandre Pantoja,,Mayank Agarwal,Sydney FC,Marcus Thuram,Southern Miss Golden Eagles,Charles Woodson,Tigres de Quintana Roo,Mitch Haniger,,Charlottetown Islanders,Clayton Keller,Teddy Atlas,Nelson Piquet Jr.,Mel Stewart,
,,,,,,,,,,Zimbabwe,,Melbourne Victory,North Texas Mean Green,Val-d'Or Foreurs,,,,,,,,,,,,,,,,,,Zimbabwe,Jaden Ivey,Brandon Moreno,,Ruturaj Gaikwad,Melbourne Victory,Eduardo Camavinga,North Texas Mean Green,Rod Woodson,Guerreros de Oaxaca,Marco Gonzales,,Val-d'Or Foreurs,Oliver Ekman-Larsson,Virgil Hunter,Jerome d'Ambrosio,Nelson Diebel,
,,,,,,,,,,Andorra,,Perth Glory,Rice Owls,Hamilton Bulldogs,,,,,,,,,,,,,,,,,,Andorra,Tyrese Haliburton,Deiveson Figueiredo,,Prithvi Shaw,Perth Glory,Jules Kounde,Rice Owls,Darrell Green,Olmecas de Tabasco,Yusei Kikuchi,,Hamilton Bulldogs,Phil Kessel,Abel Sanchez,Vitaly Petrov,Pablo Morales,
,,,,,,,,,,Armenia,,Wellington Phoenix,Old Dominion Monarchs,Erie Otters,,,,,,,,,,,,,,,,,,Armenia,Deni Avdija,Joseph Benavidez,,Navdeep Saini,Wellington Phoenix,Kingsley Coman,Old Dominion Monarchs,Mel Blount,Pericos de Puebla,Justus Sheffield,,Erie Otters,Darcy Kuemper,Robert Garcia,Sergey Sirotkin,Summer Sanders,
,,,,,,,,,,Bahamas,,Adelaide United,UTEP Miners,Team Canada,,,,,,,,,,,,,,,,,,Bahamas,Jalen Green,Alex Perez,,Shardul Thakur,Adelaide United,Adrien Rabiot,UTEP Miners,Mike Haynes,Piratas de Campeche,Jarred Kelenic,,Team Canada,Dylan Larkin,Joe Goossen,Daniil Kvyat,Shirley Babashoff,
,,,,,,,,,,Barbados,,Western Sydney Wanderers,FIU Panthers,Avangard Omsk,,,,,,,,,,,,,,,,,,Barbados,Isaiah Stewart,Kai Kara-France,,Deepak Chahar,Western Sydney Wanderers,Ibrahima Konate,FIU Panthers,Night Train Lane,Rojos del ¡guila de Veracruz,Julio Rodriguez,,Avangard Omsk,Anthony Mantha,Kevin Rooney,Charles Pic,John Naber,
,,,,,,,,,,Belize,,Santos,Eastern Michigan Eagles,Ak Bars Kazan,,,,,,,,,,,,,,,,,,Belize,Killian Hayes,Askar Askarov,,Washington Sundar,Santos,Presnel Kimpembe,Eastern Michigan Eagles,Ty Law,Saraperos de Saltillo,J.P. Crawford,,Ak Bars Kazan,Tyler Bertuzzi,Roger Mayweather,Max Chilton,Steve Lundquist,
,,,,,,,,,,Bermuda,,Flamengo,Central Michigan Chippewas,Dynamo Moscow,,,,,,,,,,,,,,,,,,Bermuda,James Wiseman,Matt Schnell,,Devdutt Padikkal,Flamengo,Moussa Diaby,Central Michigan Chippewas,Ronde Barber,Sultanes de Monterrey,Evan White,,Dynamo Moscow,Moritz Seider,Eddie Futch,Will Stevens,Mary T. Meagher,
,,,,,,,,,,Bhutan,,Palmeiras,Western Michigan Broncos,SKA Saint Petersburg,,,,,,,,,,,,,,,,,,Bhutan,Patrick Williams,Tim Elliott,,Mohammed Rizwan,Palmeiras,Alphonso Davies,Western Michigan Broncos,Aeneas Williams,Toros de Tijuana,Rafael Devers,,SKA Saint Petersburg,Filip Zadina,Nacho Beristain,Jolyon Palmer,Tracy Caulkins,
,,,,,,,,,,Bolivia,,Sao Paulo,Northern Illinois Huskies,CSKA Moscow,,,,,,,,,,,,,,,,,,Bolivia,Desmond Bane,Jordan Espinosa,,Sarfaraz Ahmed,Sao Paulo,Weston McKennie,Northern Illinois Huskies,Lester Hayes,Acereros de Monclova,Xander Bogaerts,,CSKA Moscow,Jonathan Huberdeau,Enzo Calzaghe,Nico Hulkenberg,Michael Gross,
,,,,,,,,,,Botswana,,Corinthians,Ball State Cardinals,Spartak Moscow,,,,,,,,,,,,,,,,,,Botswana,Tyrese Maxey,Rogerio Bontorin,,Shaheen Afridi,Corinthians,Christian Pulisic,Ball State Cardinals,Jimmy Johnson,Diablos Rojos del MÈxico,J.D. Martinez,,Spartak Moscow,Aleksander Barkov,Richie Woodhall,Felipe Drugovich,Sandra Vˆlker,
,,,,,,,,,,Brunei,,Gremio,Toledo Rockets,Salavat Yulaev Ufa,,,,,,,,,,,,,,,,,,Brunei,Zeke Nnaji,Sumudaerji,,Wahab Riaz,Gremio,Sergino Dest,Toledo Rockets,Darrelle Revis,Leones de Yucat·n,Alex Verdugo,,Salavat Yulaev Ufa,Aaron Ekblad,Pat Barrett,Rinus VeeKay,Michael Klim,
,,,,,,,,,,Cambodia,,Internacional,Bowling Green Falcons,Metallurg Magnitogorsk,,,,,,,,,,,,,,,,,,Cambodia,Aleksej Pokuöevski,Malcolm Gordon,,Yasir Shah,Internacional,Giovanni Reyna,Bowling Green Falcons,Richard Sherman,Algodoneros de UniÛn Laguna,Chris Sale,,Metallurg Magnitogorsk,Claude Giroux,Chris Eubank Jr.,Callum Ilott,Kieren Perkins,
,,,,,,,,,,Cayman Islands,,Atletico Mineiro,Miami RedHawks,Lokomotiv Yaroslavl,,,,,,,,,,,,,,,,,,Cayman Islands,Isaiah Joe,Tagir Ulanbekov,,Asad Shafiq,Atletico Mineiro,Tyler Adams,Miami RedHawks,Patrick Peterson,Tecolotes de los Dos Laredos,Nathan Eovaldi,,Lokomotiv Yaroslavl,Sean Couturier,Josh Taylor,Antonio Giovinazzi,Sam Riley,
,,,,,,,,,,Comoros,,Cruzeiro,Akron Zips,Torpedo Nizhny Novgorod,,,,,,,,,,,,,,,,,,Comoros,Peyton Pritchard,Tyson Nam,,Mohammad Hafeez,Cruzeiro,John Brooks,Akron Zips,Aqib Talib,Peoria Chiefs,Eduardo Rodriguez,,Torpedo Nizhny Novgorod,Jakub Voracek,Carl Frampton,Mick Schumacher,Daniel Kowalski,
,,,,,,,,,,Cook Islands,,Fluminense,Kent State Golden Flashes,Barys Nur-Sultan,,,,,,,,,,,,,,,,,,Cook Islands,Cole Anthony,Raulian Paiva,,Darren Bravo,Fluminense,Chris Richards,Kent State Golden Flashes,Jalen Ramsey,Tokyo Swallows,Tanner Houck,,Barys Nur-Sultan,Carter Hart,Barry McGuigan,Nikita Mazepin,Susie O'Neill,
,,,,,,,,,,Costa Rica,,Botafogo,Buffalo Bulls,Dinamo Riga,,,,,,,,,,,,,,,,,,Costa Rica,Theo Maledon,David Dvorak,,Shimron Hetmyer,Botafogo,Timothy Weah,Buffalo Bulls,Marcus Peters,Taipei Tigers,Matt Barnes,,Dinamo Riga,Travis Konecny,Michael Conlan,Yuki Tsunoda,Leisel Jones,
,,,,,,,,,,Cyprus,,Boca Juniors,Rutgers Scarlet Knights,Dinamo Minsk,,,,,,,,,,,,,,,,,,Cyprus,Malachi Flynn,Jarred Brooks,,Nicholas Pooran,Boca Juniors,Yunus Musah,Rutgers Scarlet Knights,Joe Haden,Beijing Dragons,Christian Vazquez,,Dinamo Minsk,Kris Letang,Ricky Burns,Oscar Piastri,Libby Trickett,
,,,,,,,,,,Djibouti,,River Plate,UConn Huskies,Jokerit Helsinki,,,,,,,,,,,,,,,,,,Djibouti,Tre Jones,Blagoy Ivanov,,Sheldon Cottrell,River Plate,Josh Sargent,UConn Huskies,Stephon Gilmore,Sydney Comets,Gleyber Torres,,Jokerit Helsinki,Jake Guentzel,Lee Selby,Theo Pourchaire,Dawn Fraser,
,,,,,,,,,,Eritrea,,Independiente,Hawaii Rainbow Warriors,Severstal Cherepovets,,,,,,,,,,,,,,,,,,Eritrea,Grant Williams,Tai Tuivasa,,Kesrick Williams,Independiente,Matt Turner,Hawaii Rainbow Warriors,Marshawn Lynch,Auckland Zephyrs,Gio Urshela,,Severstal Cherepovets,Matt Murray,Dillian Whyte,Christian Lundgaard,Murray Rose,
,,,,,,,,,,Equatorial Guinea,,Racing Club,New Mexico Lobos,Vityaz Podolsk,,,,,,,,,,,,,,,,,,Equatorial Guinea,Jordan Poole,Ciryl Gane,,Alzarri Joseph,Racing Club,Miles Robinson,New Mexico Lobos,Frank Gore,Perth Thunder,Gary Sanchez,,Vityaz Podolsk,Zach Parise,Dereck Chisora,Nyck de Vries,John Konrads,
,,,,,,,,,,Eswatini,,San Lorenzo,San Jose State Spartans,Kunlun Red Star,,,,,,,,,,,,,,,,,,Eswatini,Cameron Johnson,Augusto Sakai,,Hayden Walsh Jr.,San Lorenzo,Brenden Aaronson,San Jose State Spartans,Adrian Peterson,Melbourne Meteors,Aroldis Chapman,,Kunlun Red Star,Kevin Fiala,Tony Bellew,Pietro Fittipaldi,Shane Gould,
,,,,,,,,,,Gibraltar,,Estudiantes,UNLV Rebels,Amur Khabarovsk,,,,,,,,,,,,,,,,,,Gibraltar,Jarred Vanderbilt,Sergey Spivak,,Roston Chase,Estudiantes,Ricardo Pepi,UNLV Rebels,Derrick Henry,Jakarta Warriors,Gerrit Cole,,Amur Khabarovsk,Mats Zuccarello,Joe Joyce,Emerson Fittipaldi Jr.,Tracey Wickham,
,,,,,,,,,,Grenada,,Velez Sarsfield,New Mexico State Aggies,Neftekhimik Nizhnekamsk,,,,,,,,,,,,,,,,,,Grenada,Lonnie Walker IV,Chris Daukaus,,Shai Hope,Velez Sarsfield,Zack Steffen,New Mexico State Aggies,Alvin Kamara,Manila Eagles,Jameson Taillon,,Neftekhimik Nizhnekamsk,Jason Zucker,Daniel Dubois,Logan Sargeant,Michael Wenden,
,,,,,,,,,,Guam,,Rosario Central,Idaho Vandals,Sibir Novosibirsk,,,,,,,,,,,,,,,,,,Guam,Naz Reid,Greg Hardy,,Kieron Pollard,Rosario Central,DeAndre Yedlin,Idaho Vandals,Dalvin Cook,Bangkok Cobras,Luis Severino,,Sibir Novosibirsk,Mikko Koivu,Hughie Fury,Dan Ticktum,Susie Maroney,
,,,,,,,,,,Guyana,,Newell's Old Boys,Massachusetts Minutemen,Traktor Chelyabinsk,,,,,,,,,,,,,,,,,,Guyana,Jalen Smith,Justin Willis,,Lendl Simmons,Newell's Old Boys,Sam Vines,Massachusetts Minutemen,Ezekiel Elliott,Singapore Sluggers,Masahiro Tanaka,,Traktor Chelyabinsk,Dustin Brown,Herbie Hide,Jack Aitken,Michelle Ford,
,,,,,,,,,,Haiti,,Colo-Colo,Army West Point Black Knights,Admiral Vladivostok,,,,,,,,,,,,,,,,,,Haiti,Quentin Grimes,Shamil Abdurakhimov,,Andre Russell,Colo-Colo,Gyasi Zardes,Army West Point Black Knights,Christian McCaffrey,Kuala Lumpur Knights,Mike Trout,,Admiral Vladivostok,Ilya Kovalchuk,David Price,Tatiana Calderon,Petria Thomas,
,,,,,,,,,,Honduras,,Universidad de Chile,UMass Minutemen,Lada Togliatti,,,,,,,,,,,,,,,,,,Honduras,Bones Hyland,Marcin Tybura,,Dwayne Bravo,Universidad de Chile,Alfredo Morelos,UMass Minutemen,Saquon Barkley,Hanoi Stars,Anthony Rendon,,Lada Togliatti,Tyler Toffoli,Audley Harrison,Jamie Chadwick,Melinda Gainsford-Taylor,
,,,,,,,,,,Laos,,Universidad Catolica,Connecticut Huskies,Slovan Bratislava,,,,,,,,,,,,,,,,,,Laos,Moses Moody,Walt Harris,,Carlos Brathwaite,Universidad Catolica,Luis Diaz,Connecticut Huskies,Nick Chubb,Ho Chi Minh City Cyclones,Jared Walsh,,Slovan Bratislava,Jeff Carter,Julius Francis,Juan Pablo Montoya,Daiya Seto,
,,,,,,,,,,Lesotho,,Penarol,Liberty Flames,Vienna Capitals,,,,,,,,,,,,,,,,,,Lesotho,Chris Duarte,Alexander Volkov,,Sunil Narine,Penarol,Juan Cuadrado,Liberty Flames,Josh Jacobs,Bangkok Titans,David Fletcher,,Vienna Capitals,Brent Burns,Gary Mason,Dani Sordo,Rikako Ikee,
,,,,,,,,,,Macau,,Nacional,Jacksonville State Gamecocks,Red Bull Salzburg,,,,,,,,,,,,,,,,,,Macau,Jalen Suggs,Tom Aspinall,,Oshane Thomas,Nacional,Davinson Sanchez,Jacksonville State Gamecocks,Jonathan Taylor,Taipei Twisters,Albert Pujols,,Red Bull Salzburg,Logan Couture,Joe Bugner,Dani Juncadella,Ryosuke Irie,
,,,,,,,,,,Maldives,,Cerro Porteno,Sam Houston State Bearkats,KAC Klagenfurt,,,,,,,,,,,,,,,,,,Maldives,Franz Wagner,Sergei Pavlovich,,Lungi Ngidi,Cerro Porteno,James Rodriguez,Sam Houston State Bearkats,Aaron Jones,Beijing Bears,Justin Upton,,KAC Klagenfurt,Tomas Hertl,Henry Akinwande,Roberto Merhi,Naoya Tomita,
,,,,,,,,,,Marshall Islands,,Libertad,James Madison Dukes,Villacher SV,,,,,,,,,,,,,,,,,,Marshall Islands,Jonathan Kuminga,Aleksei Oleinik,,Dwaine Pretorius,Libertad,Rafael Borre,James Madison Dukes,Leonard Fournette,,Joe Adell,,Villacher SV,Martin Jones,John Conteh,,Takeshi Matsuda,
,,,,,,,,,,Micronesia,,Alianza Lima,,HC Bolzano,,,,,,,,,,,,,,,,,,Micronesia,Josh Giddey,Mark Hunt,,Temba Bavuma,Alianza Lima,Duvan Zapata,,Joe Mixon,,Andrew Heaney,,HC Bolzano,Marc-Edouard Vlasic,Tony Sibson,,Tomomi Morita,
,,,,,,,,,,,,Sporting Cristal,,Orli Znojmo,,,,,,,,,,,,,,,,,,,Corey Kispert,Jairzinho Rozenstruik,,Rassie van der Dussen,Sporting Cristal,Cristian Borja,,Chris Carson,,Dylan Bundy,,Orli Znojmo,Evander Kane,Alan Minter,,Aya Terakawa,
,,,,,,,,,,,,Universitario,,EHC Biel,,,,,,,,,,,,,,,,,,,Keon Johnson,Juan Espino,,Aiden Markram,Universitario,Wilmar Barrios,,David Montgomery,,Shohei Ohtani,,EHC Biel,Joe Pavelski,Herol Graham,,Satomi Suzuki,
,,,,,,,,,,,,America de Cali,,HC Davos,,,,,,,,,,,,,,,,,,,Usman Garuba,Maurice Greene,,Lizaad Williams,America de Cali,Yerry Mina,,Austin Ekeler,,J.T. Realmuto,,HC Davos,John Klingberg,Clinton Woods,,Yui Ohashi,
,,,,,,,,,,,,Atletico Nacional,,SC Bern,,,,,,,,,,,,,,,,,,,Trey Murphy III,Parker Porter,,Keshav Maharaj,Atletico Nacional,Edwin Cardona,,Miles Sanders,,Bryce Harper,,SC Bern,Miro Heiskanen,George Groves,,Reona Aoki,
,,,,,,,,,,,,Millonarios,,ZSC Lions,,,,,,,,,,,,,,,,,,,Ziaire Williams,Tanner Boser,,Tabraiz Shamsi,Millonarios,Camilo Vargas,,J.K. Dobbins,,Rhys Hoskins,,ZSC Lions,Ben Bishop,Callum Smith,,Geoff Huegill,
,,,,,,,,,,,,Santa Fe,,Lausanne HC,,,,,,,,,,,,,,,,,,,Brandon Boston Jr.,Jarjis Danho,,Reeza Hendricks,Santa Fe,Matheus Uribe,,Kareem Hunt,,Didi Gregorius,,Lausanne HC,Anton Khudobin,Rocky Fielding,,Matthew Dunn,
,,,,,,,,,,,,Deportivo Cali,,Fribourg-Gottéron,,,,,,,,,,,,,,,,,,,Davion Mitchell,Daniel Omielanczuk,,Heinrich Klaasen,Deportivo Cali,Gustavo Cuellar,,James Conner,,Aaron Nola,,Fribourg-GottÈron,Blake Wheeler,Martin Murray,,Chris Fydler,
,,,,,,,,,,,,Junior,,HC Lugano,,,,,,,,,,,,,,,,,,,Ayo Dosunmu,Andrei Arlovski,,Mitchell Santner,Junior,Jhon Cordoba,,Melvin Gordon,,Zack Wheeler,,HC Lugano,Mark Scheifele,Darren Barker,,Scott Miller,
,,,,,,,,,,,,Club America,,Genève-Servette HC,,,,,,,,,,,,,,,,,,,Alperen ?eng¸n,Ben Rothwell,,Ish Sodhi,Club America,Radamel Falcao,,Cam Akers,,Jean Segura,,GenËve-Servette HC,Patrik Laine,Andy Lee,,Susan O'Neill,
,,,,,,,,,,,,Leon,,EV Zug,,,,,,,,,,,,,,,,,,,Sharife Cooper,Stefan Struve,,Tom Blundell,Leon,Jefferson Lerma,,Antonio Gibson,,Andrew McCutchen,,EV Zug,Kyle Connor,Matthew Macklin,,Jodie Henry,
,,,,,,,,,,,,Tijuana,,Rapperswil-Jona Lakers,,,,,,,,,,,,,,,,,,,Sandro Mamukelashvili,Junior dos Santos,,Hamish Bennett,Tijuana,Jairo Moreno,,Devin Singletary,,Alec Bohm,,Rapperswil-Jona Lakers,Connor Hellebuyck,Kevin Mitchell,,Alice Mills,
,,,,,,,,,,,,Atlas,,SCL Tigers,,,,,,,,,,,,,,,,,,,Jared Butler,Derrick Lewis,,Kyle Mills,Atlas,Stefan Medina,,Phillip Lindsay,,Max Fried,,SCL Tigers,Josh Morrissey,Josh Warrington,,Linda Mackenzie,
,,,,,,,,,,,,Herediano,,Kloten Flyers,,,,,,,,,,,,,,,,,,,JT Thor,Curtis Blaydes,,Brendon Taylor,Herediano,Santiago Arias,,Raheem Mostert,,Mike Soroka,,Kloten Flyers,Bryan Little,Kid Galahad,,Brenton Rickard,
,,,,,,,,,,,,Saprissa,,Växjö Lakers,,,,,,,,,,,,,,,,,,,Luka Garza,Alexey Oleynik,,Elton Chigumbura,Saprissa,Johan Mojica,,Kenyan Drake,,Ian Anderson,,V‰xjˆ Lakers,Nik Ehlers,Leo Santa Cruz,,Ashley Callus,
,,,,,,,,,,,,Alajuelense,,Frölunda HC,,,,,,,,,,,,,,,,,,,Joe Wieskamp,Sergey Pavlovich,,Sikandar Raza,Alajuelense,Jesus Corona,,D'Andre Swift,,Ronald AcuÒa Jr.,,Frˆlunda HC,John Gibson,Abner Mares,,Andrew Lauterstein,
,,,,,,,,,,,,Comunicaciones,,Skellefteå AIK,,,,,,,,,,,,,,,,,,,Isaiah Jackson,Rodrigo Nascimento,,Sean Williams,Comunicaciones,Diego Lainez,,Zack Moss,,Freddie Freeman,,SkellefteÂ AIK,Ryan Getzlaf,Nonito Donaire,,Eamon Sullivan,
,,,,,,,,,,,,Municipal,,Luleå HF,,,,,,,,,,,,,,,,,,,Charles Bassey,Chase Sherman,,Craig Ervine,Municipal,Ricardo Rodriguez,,Gus Edwards,,Ozzie Albies,,LuleÂ HF,Rickard Rakell,Guillermo Rigondeaux,,Kylie Palmer,
,,,,,,,,,,,,Motagua,,Djurgårdens IF,,,,,,,,,,,,,,,,,,,David Duke Jr.,Justin Tafa,,Tendai Chatara,Motagua,Xherdan Shaqiri,,Tony Pollard,,Dansby Swanson,,DjurgÂrdens IF,Jakob Silfverberg,Orlando Salido,,Jess Schipper,
,,,,,,,,,,,,Olimpia,,Brynäs IF,,,,,,,,,,,,,,,,,,,Herbert Jones,Carlos Felipe,,Blessing Muzarabani,Olimpia,Granit Xhaka,,Clyde Edwards-Helaire,,Austin Riley,,Bryn‰s IF,Cam Fowler,Teofimo Lopez,,Belinda Hocking,
