Sports Club Roles,Child Protection checked eg DBS?,Do you consent to Photography & Filming of your child?,Do you approve video & images of your child for Club external use?,Club Team Names,Team 1 ,Team 2,Dominant Foot,Dominant Hand,How many keepie uppies can you do?,Fav. Basketball Teams,Fav. Cricket Teams,Fav. Football (Soccer) Team,Fav. American Football Teams,Fav. Ice Hockey Teams,Preferred Positions (By Sport),,Training Frequency,Preferred Training Style,Past Injuries,Chronic Conditions,Allergies,Protective Gear Used,Sports Brand Preference,Supplements Used,,,Fav. Tennis Players,Fav. Rugby Teams,Fav. Rugby Players,Fav. Badminton Players,Fav. Squash Players,Fav. Basketball Teams,Fav. Basketball Players,Fav. MMA Fighters,Fav. Cricket Teams,Fav. Cricket Players,Fav. Football Teams (Soccer),Fav. Football Players (Soccer),Fav. American Football Teams,Fav. American Football Players,Fav. Baseball Teams,Fav. Baseball Players,Fav. Golf Players,Fav. Ice Hockey Teams,Fav. Ice Hockey Players,Fav. Boxers,Fav. F1 Drivers,Fav. Swimmers,Fav. Entertainment & Media
,,,,,,,,,,,,Marathón,,Färjestad BK,,,,,,,,,,,,,,,,,,,Santi Aldama,Ilir Latifi,,Chris Mpofu,MarathÛn,Haris Seferovic,,Najee Harris,,Cristian Pache,,F‰rjestad BK,Hampus Lindholm,Richard Commey,,Kate Campbell,
,,,,,,,,,,,,Seattle Sounders,,HV71,,,,,,,,,,,,,,,,,,,Aaron Wiggins,Roman Dolidze,,Regis Chakabva,Seattle Sounders,Fabian Schar,,Trey Sermon,,Vladimir Guerrero Jr.,,HV71,Adam Henrique,Gervonta Davis,,Melanie Schlanger,
,,,,,,,,,,,,LA Galaxy,,Malmö Redhawks,,,,,,,,,,,,,,,,,,,Neemias Queta,Michal Oleksiejczuk,,Peter Moor,LA Galaxy,Yann Sommer,,Michael Thomas,,Bo Bichette,,Malmˆ Redhawks,Nick Schmaltz,Devin Haney,,Alicia Coutts,
,,,,,,,,,,,,LAFC,,Rögle BK,,,,,,,,,,,,,,,,,,,Joe Ingles,Edmen Shahbazyan,,Hamilton Masakadza,LAFC,Manuel Akanji,,Julio Jones,,George Springer,,Rˆgle BK,Conor Garland,Ryan Garcia,,Maddie Groves,
,,,,,,,,,,,,New York City FC,,Örebro HK,,,,,,,,,,,,,,,,,,,Goga Bitadze,Brendan Allen,,Graeme Cremer,New York City FC,Steven Zuber,,DeAndre Hopkins,,Marcus Semien,,÷rebro HK,Jakob Chychrun,Luke Campbell,,Taylor McKeown,
,,,,,,,,,,,,New York Red Bulls,,Linköping HC,,,,,,,,,,,,,,,,,,,Kessler Edwards,Punahele Soriano,,Richmond Mutumbami,New York Red Bulls,Denis Zakaria,,Davante Adams,,Teoscar Hernandez,,Linkˆping HC,Filip Hronek,Jorge Linares,,Emma McKeon,
,,,,,,,,,,,,Atlanta United,,Karlskrona HK,,,,,,,,,,,,,,,,,,,Anthony Edwards,Trevin Giles,,Ryan Burl,Atlanta United,Silvan Widmer,,Tyreek Hill,,Hyun Jin Ryu,,Karlskrona HK,Jonathan Bernier,Mikey Garcia,,Brittany Elmslie,
,,,,,,,,,,,,Portland Timbers,,SaiPa Lappeenranta,,,,,,,,,,,,,,,,,,,Moses Brown,Dalcha Lungiambula,,Tino Mawoyo,Portland Timbers,Nico Elvedi,,Stefon Diggs,,Nate Pearson,,SaiPa Lappeenranta,Keith Yandle,Robert Easter Jr.,,Cameron McEvoy,
,,,,,,,,,,,,Toronto FC,,HIFK Helsinki,,,,,,,,,,,,,,,,,,,Jaxson Hayes,Anthony Hernandez,,Dwayne Smith,Toronto FC,Breel Embolo,,Keenan Allen,,Lourdes Gurriel Jr.,,HIFK Helsinki,Mike Hoffman,Adrien Broner,,Mitch Larkin,
,,,,,,,,,,,,CF Montreal,,Ilves Tampere,,,,,,,,,,,,,,,,,,,Nickeil Alexander-Walker,Rodolfo Vieira,,Rayad Emrit,CF Montreal,Mario Gavranovic,,Chris Godwin,,Randal Grichuk,,Ilves Tampere,Kevin Hayes,Regis Prograis,,Daniel Smith,
,,,,,,,,,,,,Vancouver Whitecaps,,Tappara Tampere,,,,,,,,,,,,,,,,,,,Chimezie Metu,Nassourdine Imavov,,Denesh Ramdin,Vancouver Whitecaps,Jordan Shaqiri,,Mike Evans,,Cavan Biggio,,Tappara Tampere,Ivan Provorov,Maurice Hooker,,James Roberts,
,,,,,,,,,,,,D.C. United,,TPS Turku,,,,,,,,,,,,,,,,,,,Isaac Okoro,Makhmud Muradov,,Devon Conway,D.C. United,Bruno Fernandes,,A.J. Brown,,Jose Berrios,,TPS Turku,Brendan Gallagher,Jose Ramirez,,Travis Mahoney,
,,,,,,,,,,,,Columbus Crew,,Lukko Rauma,,,,,,,,,,,,,,,,,,,Darius Bazley,Karl Roberson,,Rilee Rossouw,Columbus Crew,Joao Felix,,Justin Jefferson,,Eddie Rosario,,Lukko Rauma,Jonathan Drouin,Viktor Postol,,Tom Fraser-Holmes,
,,,,,,,,,,,,Chicago Fire,,Ässät Pori,,,,,,,,,,,,,,,,,,,Luguentz Dort,Andrew Sanchez,,Kyle Abbott,Chicago Fire,Ruben Neves,,Allen Robinson,,Miguel Sano,,ƒss‰t Pori,Max Domi,Amir Imam,,David McKeon,
,,,,,,,,,,,,Sporting Kansas City,,Pelicans Lahti,,,,,,,,,,,,,,,,,,,Vit Krejci,Phil Hawes,,Morne Morkel,Sporting Kansas City,Diogo Jota,,Amari Cooper,,Jorge Polanco,,Pelicans Lahti,Jesperi Kotkaniemi,Ivan Baranchyk,,Mack Horton,
,,,,,,,,,,,,Houston Dynamo,,JYP Jyväskylä,,,,,,,,,,,,,,,,,,,Kenrich Williams,Dricus Du Plessis,,Duanne Olivier,Houston Dynamo,Joao Cancelo,,Terry McLaurin,,Kenta Maeda,,JYP Jyv‰skyl‰,Phillip Danault,Julius Indongo,,Jordan Harrison,
,,,,,,,,,,,,FC Dallas,,KalPa Kuopio,,,,,,,,,,,,,,,,,,,Hamidou Diallo,Marc-Andre Barriault,,James Faulkner,FC Dallas,Nuno Mendes,,D.K. Metcalf,,Nelson Cruz,,KalPa Kuopio,Tomas Tatar,Sergey Lipinets,,Jessica Ashwood,
,,,,,,,,,,,,Orlando City,,KooKoo Kouvola,,,,,,,,,,,,,,,,,,,Derrick Favors,Eryk Anders,,Cameron White,Orlando City,Rafael Leao,,Adam Thielen,,Byron Buxton,,KooKoo Kouvola,Victor Mete,Yordenis Ugas,,Madi Wilson,
,,,,,,,,,,,,Inter Miami,,Sport Vaasa,,,,,,,,,,,,,,,,,,,Isaiah Roby,Deron Winn,,Nathan Coulter-Nile,Inter Miami,Goncalo Guedes,,Calvin Ridley,,Josh Donaldson,,Sport Vaasa,Morgan Rielly,Eleider Alvarez,,Leah Neale,
,,,,,,,,,,,,Minnesota United,,MODO Hockey,,,,,,,,,,,,,,,,,,,Michael Beasley,Roman Kopylov,,Andrew Tye,Minnesota United,Rui Patricio,,Robert Woods,,Corey Seager,,MODO Hockey,Frederik Andersen,Jean Pascal,,Tamsin Cook,
,,,,,,,,,,,,Philadelphia Union,,Leksands IF,,,,,,,,,,,,,,,,,,,Frank Jackson,Antonio Arroyo,,Peter Handscomb,Philadelphia Union,Nelson Semedo,,Cooper Kupp,,Mookie Betts,,Leksands IF,Zach Hyman,Oleksandr Gvozdyk,,Brianna Throssell,
,,,,,,,,,,,,San Jose Earthquakes,,Timrå IK,,,,,,,,,,,,,,,,,,,Svi Mykhailiuk,Jun Yong Park,,Moises Henriques,San Jose Earthquakes,William Carvalho,,Tyler Lockett,,Cody Bellinger,,TimrÂ IK,Tyson Barrie,Joe Smith Jr.,,Ellen Gandy,
,,,,,,,,,,,,Real Salt Lake,,AIK Stockholm,,,,,,,,,,,,,,,,,,,Yuta Watanabe,Tom Breese,,Ashton Agar,Real Salt Lake,Jose Fonte,,Kenny Golladay,,Clayton Kershaw,,AIK Stockholm,Kasperi Kapanen,Marcus Browne,,Blair Evans,
,,,,,,,,,,,,New England Revolution,,Södertälje SK,,,,,,,,,,,,,,,,,,,Freddie Gillespie,Kyle Daukaus,,Glenn Phillips,New England Revolution,Andre Silva,,Odell Beckham Jr.,,Walker Buehler,,Sˆdert‰lje SK,Mika Zibanejad,Badou Jack,,Kotuku Ngawati,
,,,,,,,,,,,,Charlotte FC,,IF Björklöven,,,,,,,,,,,,,,,,,,,Dalano Banton,Jamie Pickett,,Dan Lawrence,Charlotte FC,Renato Sanches,,CeeDee Lamb,,Max Muncy,,IF Bjˆrklˆven,Artemi Panarin,Callum Johnson,,Ami Matsuo,
,,,,,,,,,,,,Austin FC,,IK Oskarshamn,,,,,,,,,,,,,,,,,,,David Johnson,Dusko Todorovic,,Saqib Mahmood,Austin FC,Diego Godin,,Deebo Samuel,,Justin Turner,,IK Oskarshamn,Chris Kreider,Anthony Yarde,,Laura Taylor,
,,,,,,,,,,,,Nashville SC,,BIK Karlskoga,,,,,,,,,,,,,,,,,,,Justin Champagnie,Wellington Turman,,Mark Wood,Nashville SC,Luis Suarez,,Brandin Cooks,,Will Smith,,BIK Karlskoga,Kaapo Kakko,Lyndon Arthur,,Jayden Hadler,
,,,,,,,,,,,,Colorado Rapids,,Mora IK,,,,,,,,,,,,,,,,,,,Khem Birch,Jordan Wright,,Ollie Pope,Colorado Rapids,Edinson Cavani,,Courtland Sutton,,Kenley Jansen,,Mora IK,Jacob Trouba,Joshua Buatsi,,Maxime Rooney,
,,,,,,,,,,,,Cincinnati FC,,Västerviks IK,,,,,,,,,,,,,,,,,,,,Impa Kasanganay,,Sam Curran,Cincinnati FC,Fernando Muslera,,T.Y. Hilton,,Trevor Bauer,,V‰sterviks IK,Tony DeAngelo,Richard Riakporhe,,Kelsi Dahlia,
,,,,,,,,,,,,Club Tijuana,,Västerås IK,,,,,,,,,,,,,,,,,,,,,,Tom Curran,Club Tijuana,Diego Rossi,,Marvin Jones,,Fernando Tatis Jr.,,V‰sterÂs IK,Filip Chytil,Lawrence Okolie,,Leah Smith,
,,,,,,,,,,,,Puebla,,IF Troja-Ljungby,,,,,,,,,,,,,,,,,,,,,,,Puebla,Giorgian De Arrascaeta,,Jarvis Landry,,Manny Machado,,IF Troja-Ljungby,Adam Fox,Mairis Briedis,,Molly Hannis,
,,,,,,,,,,,,Querétaro,,HC Plzen,,,,,,,,,,,,,,,,,,,,,,,QuerÈtaro,Rodrigo Bentancur,,Sterling Shepard,,Yu Darvish,,HC Plzen,Jesper Fast,Yuniel Dorticos,,Kevin Cordes,
,,,,,,,,,,,,Mazatlán FC,,HC Sparta Praha,,,,,,,,,,,,,,,,,,,,,,,Mazatl·n FC,Federico Valverde,,D.J. Chark,,Blake Snell,,HC Sparta Praha,Pavel Buchnevich,Krzysztof Glowacki,,Chase Kalisz,
,,,,,,,,,,,,Necaxa,,HC Kometa Brno,,,,,,,,,,,,,,,,,,,,,,,Necaxa,Lucas Torreira,,Tee Higgins,,Eric Hosmer,,HC Kometa Brno,Igor Shesterkin,Murat Gassiev,,Ryan Murphy,
,,,,,,,,,,,,Juárez,,HC Ocelari Trinec,,,,,,,,,,,,,,,,,,,,,,,Ju·rez,Matias Vecino,,Chase Claypool,,Wil Myers,,HC Ocelari Trinec,Anders Lee,Denis Lebedev,,Kathleen Baker,
,,,,,,,,,,,,Toluca,,Mountfield HK,,,,,,,,,,,,,,,,,,,,,,,Toluca,Jose Gimenez,,Will Fuller,,Tommy Pham,,Mountfield HK,Mathew Barzal,Steve Cunningham,,Siobhan Haughey,
,,,,,,,,,,,,Santos Laguna,,Bílí Tygři Liberec,,,,,,,,,,,,,,,,,,,,,,,Santos Laguna,Ronald Araujo,,Devonta Smith,,Trent Grisham,,BÌlÌ Tyg?i Liberec,Brock Nelson,Ola Afolabi,,,
,,,,,,,,,,,,Club León,,HC Vítkovice Ridera,,,,,,,,,,,,,,,,,,,,,,,Club LeÛn,Darwin Nunez,,Jaylen Waddle,,Jake Cronenworth,,HC VÌtkovice Ridera,Jordan Eberle,Ilunga Makabu,,,
,,,,,,,,,,,,Pachuca,,HC Energie Karlovy Vary,,,,,,,,,,,,,,,,,,,,,,,Pachuca,Martin Caceres,,Ja'Marr Chase,,Chris Paddack,,HC Energie Karlovy Vary,Ryan Pulock,Isaac Chamberlain,,,
,,,,,,,,,,,,Tigres UANL,,PSG Zlín,,,,,,,,,,,,,,,,,,,,,,,Tigres UANL,Maximiliano Gomez,,Michael Pittman Jr.,,Dinelson Lamet,,PSG ZlÌn,Adam Pelech,Chris Billam-Smith,,,
,,,,,,,,,,,,Atlético San Luis,,BK Mladá Boleslav,,,,,,,,,,,,,,,,,,,,,,,AtlÈtico San Luis,Javier Hernandez,,Rondale Moore,,Francisco Lindor,,BK Mlad· Boleslav,Semyon Varlamov,Richard Bolotniks,,,
,,,,,,,,,,,,Guadalajara,,HC Pardubice,,,,,,,,,,,,,,,,,,,,,,,Guadalajara,Hector Herrera,,Denzel Mims,,Pete Alonso,,HC Pardubice,Jean-Gabriel Pageau,Danny Williams,,,
,,,,,,,,,,,,Cruz Azul,,HC Slovan Bratislava,,,,,,,,,,,,,,,,,,,,,,,Cruz Azul,Jesus Manuel Corona,,Rashod Bateman,,Jeff McNeil,,HC Slovan Bratislava,Anthony Beauvillier,Matt Skelton,,,
,,,,,,,,,,,,Pumas UNAM,,HK Dukla Trenčín,,,,,,,,,,,,,,,,,,,,,,,Pumas UNAM,Rodolfo Pizarro,,Amon-Ra St. Brown,,Michael Conforto,,HK Dukla Tren?Ìn,Josh Bailey,Michael Sprott,,,
,,,,,,,,,,,,Club América,,HC Košice,,,,,,,,,,,,,,,,,,,,,,,Club AmÈrica,Edson Alvarez,,Tre'Quan Smith,,Jacob deGrom,,HC Koöice,Kyle Palmieri,Gary Cornish,,,
,,,,,,,,,,,,Monterrey,,HK Nitra,,,,,,,,,,,,,,,,,,,,,,,Monterrey,Raul Jimenez,,Mecole Hardman,,Marcus Stroman,,HK Nitra,Nico Hischier,Tony Yoka,,,
,,,,,,,,,,,,Liverpool Montevideo,,HKM Zvolen,,,,,,,,,,,,,,,,,,,,,,,Liverpool Montevideo,Carlos Vela,,Darius Slayton,,Noah Syndergaard,,HKM Zvolen,Jack Hughes,Efe Ajagba,,,
,,,,,,,,,,,,Defensor Sporting,,HK Poprad,,,,,,,,,,,,,,,,,,,,,,,Defensor Sporting,Guillermo Ochoa,,Van Jefferson,,Carlos Carrasco,,HK Poprad,Mackenzie Blackwood,Frank Sanchez,,,
,,,,,,,,,,,,Danubio,,HKM Detva,,,,,,,,,,,,,,,,,,,,,,,Danubio,Nestor Araujo,,Henry Ruggs III,,Edwin Diaz,,HKM Detva,Nikita Gusev,Filip Hrgovic,,,
,,,,,,,,,,,,River Plate Montevideo,,HK 32 Liptovský Mikuláš,,,,,,,,,,,,,,,,,,,,,,,River Plate Montevideo,Uriel Antuna,,Gabriel Davis,,Brandon Nimmo,,HK 32 Liptovsk˝ Mikul·ö,Jesper Bratt,Martin Bakole,,,
,,,,,,,,,,,,Plaza Colonia,,MHk 32 Liptovský Mikuláš,,,,,,,,,,,,,,,,,,,,,,,Plaza Colonia,Erick Gutierrez,,Antonio Brown,,Aaron Judge,,MHk 32 Liptovsk˝ Mikul·ö,Damon Severson,Carlos Takam,,,
,,,,,,,,,,,,Club Nacional de Football,,MHC Martin,,,,,,,,,,,,,,,,,,,,,,,Club Nacional de Football,Rogelio Funes Mori,,John Brown,,Giancarlo Stanton,,MHC Martin,Rasmus Andersson,Marat Gassiev,,,
,,,,,,,,,,,,Deportivo Maldonado,,DVTK Jegesmedvék,,,,,,,,,,,,,,,,,,,,,,,Deportivo Maldonado,Alfredo Talavera,,Nelson Agholor,,DJ LeMahieu,,DVTK JegesmedvÈk,David Rittich,Michael Hunter,,,
,,,,,,,,,,,,Albion FC,,Fehérvár AV19,,,,,,,,,,,,,,,,,,,,,,,Albion FC,Chicharito,,Jamison Crowder,,,,FehÈrv·r AV19,Cam Talbot,Alexander Povetkin,,,
,,,,,,,,,,,,Boston River,,Debreceni HK,,,,,,,,,,,,,,,,,,,,,,,Boston River,Memo Ochoa,,Curtis Samuel,,,,Debreceni HK,J.T. Miller,Sergey Kuzmin,,,
,,,,,,,,,,,,Cerro Largo FC,,HC Csíkszereda,,,,,,,,,,,,,,,,,,,,,,,Cerro Largo FC,Diego Reyes,,Emmanuel Sanders,,,,HC CsÌkszereda,Alexander Edler,Robert Helenius,,,
,,,,,,,,,,,,Montevideo City Torque,,Ferencvárosi TC,,,,,,,,,,,,,,,,,,,,,,,Montevideo City Torque,Marco Fabian,,Michael Gallup,,,,Ferencv·rosi TC,Zack Kassian,Kubrat Pulev,,,
,,,,,,,,,,,,Rentistas,,UTE Budapest,,,,,,,,,,,,,,,,,,,,,,,Rentistas,Andres Guardado,,Robby Anderson,,,,UTE Budapest,Adam Gaudette,Mariusz Wach,,,
,,,,,,,,,,,,CA Progreso,,Budapest Hockey Club,,,,,,,,,,,,,,,,,,,,,,,CA Progreso,Jose Andres Guardado,,Cole Beasley,,,,Budapest Hockey Club,Tyler Myers,Artur Szpilka,,,
,,,,,,,,,,,,Cerro,,Cracovia Kraków,,,,,,,,,,,,,,,,,,,,,,,Cerro,Hirving Lozano,,DeSean Jackson,,,,Cracovia KrakÛw,Chris Tanev,Adam Kownacki,,,
,,,,,,,,,,,,CA Fénix,,GKS Tychy,,,,,,,,,,,,,,,,,,,,,,,CA FÈnix,Javier Aquino,,Marquise Brown,,,,GKS Tychy,Jay Beagle,Andriy Rudenko,,,
,,,,,,,,,,,,Racing Club Montevideo,,Unia Oświęcim,,,,,,,,,,,,,,,,,,,,,,,Racing Club Montevideo,Francisco Rodriguez,,Christian Kirk,,,,Unia O?wi?cim,Loui Eriksson,Ruslan Chagaev,,,
,,,,,,,,,,,,Juventud de Las Piedras,,GKS Katowice,,,,,,,,,,,,,,,,,,,,,,,Juventud de Las Piedras,Nery Castillo,,Jalen Reagor,,,,GKS Katowice,Jake Virtanen,Lamon Brewster,,,
,,,,,,,,,,,,Villa Española,,Podhale Nowy Targ,,,,,,,,,,,,,,,,,,,,,,,Villa EspaÒola,Jonathan Dos Santos,,Parris Campbell,,,,Podhale Nowy Targ,,Oleg Maskaev,,,
,,,,,,,,,,,,Uruguay Montevideo FC,,Polonia Bytom,,,,,,,,,,,,,,,,,,,,,,,Uruguay Montevideo FC,Jorge Campos,,Bryan Edwards,,,,Polonia Bytom,,Jameel McCline,,,
,,,,,,,,,,,,Deportivo Laferrere,,Orlik Opole,,,,,,,,,,,,,,,,,,,,,,,Deportivo Laferrere,Jared Borgetti,,Zach Pascal,,,,Orlik Opole,,Calvin Brock,,,
,,,,,,,,,,,,Estudiantes de Buenos Aires,,JKH GKS Jastrzębie,,,,,,,,,,,,,,,,,,,,,,,Estudiantes de Buenos Aires,Cuauhtemoc Blanco,,,,,,JKH GKS Jastrz?bie,,Dominick Guinn,,,
,,,,,,,,,,,,Atlanta,,STS Sanok,,,,,,,,,,,,,,,,,,,,,,,Atlanta,Luis Hernandez,,,,,,STS Sanok,,Michael Grant,,,
,,,,,,,,,,,,All Boys,,HK Dukla Michalovce,,,,,,,,,,,,,,,,,,,,,,,All Boys,Hugo Sanchez,,,,,,HK Dukla Michalovce,,David Tua,,,
,,,,,,,,,,,,Almirante Brown,,HC RT Torax Poruba,,,,,,,,,,,,,,,,,,,,,,,Almirante Brown,Claudio Suarez,,,,,,HC RT Torax Poruba,,Joe Mesi,,,
,,,,,,,,,,,,Ferro Carril Oeste,,Gornyak Rudny,,,,,,,,,,,,,,,,,,,,,,,Ferro Carril Oeste,Rafael Marquez,,,,,,Gornyak Rudny,,Fres Oquendo,,,
,,,,,,,,,,,,Deportivo Morón,,Saryarka Karaganda,,,,,,,,,,,,,,,,,,,,,,,Deportivo MorÛn,Antonio Carbajal,,,,,,Saryarka Karaganda,,Monte Barrett,,,
,,,,,,,,,,,,,,Arystan Temirtau,,,,,,,,,,,,,,,,,,,,,,,,Carlos Salcido,,,,,,Arystan Temirtau,,DaVarryl Williamson,,,
,,,,,,,,,,,,,,Beibarys Atyrau,,,,,,,,,,,,,,,,,,,,,,,,Benjamin Galindo,,,,,,Beibarys Atyrau,,Travis Kauffman,,,
,,,,,,,,,,,,,,Yertis Pavlodar,,,,,,,,,,,,,,,,,,,,,,,,Manuel Negrete,,,,,,Yertis Pavlodar,,Kevin Johnson,,,
,,,,,,,,,,,,,,HK Gomel,,,,,,,,,,,,,,,,,,,,,,,,Carlos Hermosillo,,,,,,HK Gomel,,Malik Scott,,,
,,,,,,,,,,,,,,Yunost Minsk,,,,,,,,,,,,,,,,,,,,,,,,Ignacio Calderon,,,,,,Yunost Minsk,,Gerald Washington,,,
,,,,,,,,,,,,,,Shakhtyor Soligorsk,,,,,,,,,,,,,,,,,,,,,,,,Adalberto Palma,,,,,,Shakhtyor Soligorsk,,Eric Molina,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duilio Davino,,,,,,,,Bryant Jennings,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enrique Borja,,,,,,,,Dominic Breazeale,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Clavijo,,,,,,,,Charles Martin,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel Caballero,,,,,,,,Trevor Bryan,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo Sepulveda,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hector Moreno,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesus Arellano,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan de Dios Castillo,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jose de Jesus Corona,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Carlos Plata,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Baca,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ricardo Osorio,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salvador Carmona,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Garcia Aspe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Medina,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angel Sepulveda,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Briseno,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Esquivel,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Rios,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Herrera,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ernesto Vega,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerardo Lugo,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Casillas,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Israel Jimenez,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Tellez,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Michel,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Bueno,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Trejo,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Layun,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nestor Calderon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omar Bravo,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omar Esparza,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oribe Peralta,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oscar Perez,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pavel Pardo,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ricardo La Volpe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomas Boy,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulises Rivas,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victor Guzman,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walter Erviti,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yasser Corona,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adriano,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandre Pato,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Pirlo,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andriy Shevchenko,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angel Di Maria,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Tevez,,,,,,,,,,,